ID,Construction_ID,Parameter_ID,Value,Code_ID,Comment
adyg1241-ap1-ap-marker,adyg1241-ap1,ap-marker,n/a,,
adyg1241-ap1-marker-type,adyg1241-ap1,marker-type,ablaut,marker-type-c1,
adyg1241-ap1-functions,adyg1241-ap1,functions,atelic,functions-c1,
adyg1241-ap1-polysemy,adyg1241-ap1,polysemy,dedicated,polysemy-c1,
adyg1241-ap1-productivity,adyg1241-ap1,productivity,restricted,productivity-c1,
adyg1241-ap1-p-obligatoriness,adyg1241-ap1,p-obligatoriness,mostly_missing,p-obligatoriness-c3,
adyg1241-ap1-p-definiteness,adyg1241-ap1,p-definiteness,indefinite,p-definiteness-c2,
bant1281-ap1-ap-marker,bant1281-ap1,ap-marker,kʰa,,
bant1281-ap1-marker-type,bant1281-ap1,marker-type,clitic,marker-type-c5,
bant1281-ap1-functions,bant1281-ap1,functions,atelic,functions-c1,
bant1281-ap1-polysemy,bant1281-ap1,polysemy,dedicated,polysemy-c1,
bant1281-ap1-productivity,bant1281-ap1,productivity,restricted,productivity-c1,
bant1281-ap1-p-obligatoriness,bant1281-ap1,p-obligatoriness,forbidden,p-obligatoriness-c2,
bant1281-ap1-p-definiteness,bant1281-ap1,p-definiteness,indefinite,p-definiteness-c2,
bant1281-ap2-ap-marker,bant1281-ap2,ap-marker,n/a,,
bant1281-ap2-marker-type,bant1281-ap2,marker-type,zero,marker-type-c10,
bant1281-ap2-functions,bant1281-ap2,functions,atelic,functions-c1,
bant1281-ap2-polysemy,bant1281-ap2,polysemy,n/a,polysemy-c4,
bant1281-ap2-productivity,bant1281-ap2,productivity,restricted,productivity-c1,
bant1281-ap2-p-obligatoriness,bant1281-ap2,p-obligatoriness,forbidden,p-obligatoriness-c2,
bant1281-ap2-p-definiteness,bant1281-ap2,p-definiteness,restricted,p-definiteness-c4,
cavi1250-ap1-marker-type,cavi1250-ap1,marker-type,affix,marker-type-c2,
cavi1250-ap2-ap-marker,cavi1250-ap2,ap-marker,n/a,,
cavi1250-ap2-marker-type,cavi1250-ap2,marker-type,reduplication,marker-type-c8,
cavi1250-ap2-functions,cavi1250-ap2,functions,atelic,functions-c1,
cavi1250-ap2-polysemy,cavi1250-ap2,polysemy,dedicated,polysemy-c1,
cavi1250-ap2-productivity,cavi1250-ap2,productivity,restricted,productivity-c1,
cavi1250-ap2-p-obligatoriness,cavi1250-ap2,p-obligatoriness,split,p-obligatoriness-c6,
cavi1250-ap2-p-definiteness,cavi1250-ap2,p-definiteness,indefinite,p-definiteness-c2,
cent2127-ap1-ap-marker,cent2127-ap1,ap-marker,ɣi,,
cent2127-ap1-marker-type,cent2127-ap1,marker-type,affix,marker-type-c2,
cent2127-ap1-functions,cent2127-ap1,functions,atelic,functions-c1,
cent2127-ap1-polysemy,cent2127-ap1,polysemy,syncretic,polysemy-c6,
cent2127-ap1-productivity,cent2127-ap1,productivity,unrestricted,productivity-c2,
cent2127-ap1-p-obligatoriness,cent2127-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
cent2127-ap1-p-definiteness,cent2127-ap1,p-definiteness,unrestricted,p-definiteness-c5,
cent2127-ap2-ap-marker,cent2127-ap2,ap-marker,n/a,,
cent2127-ap2-marker-type,cent2127-ap2,marker-type,zero,marker-type-c10,
cent2127-ap2-functions,cent2127-ap2,functions,atelic,functions-c1,
cent2127-ap2-polysemy,cent2127-ap2,polysemy,n/a,polysemy-c4,
cent2127-ap2-productivity,cent2127-ap2,productivity,unrestricted,productivity-c2,
cent2127-ap2-p-obligatoriness,cent2127-ap2,p-obligatoriness,flexible,p-obligatoriness-c1,
cent2127-ap2-p-definiteness,cent2127-ap2,p-definiteness,unrestricted,p-definiteness-c5,
cham1312-ap1-ap-marker,cham1312-ap1,ap-marker,man,,
cham1312-ap1-marker-type,cham1312-ap1,marker-type,affix,marker-type-c2,
cham1312-ap1-functions,cham1312-ap1,functions,"atelic, pragmatic",functions-c6,
cham1312-ap1-polysemy,cham1312-ap1,polysemy,syncretic,polysemy-c6,
