ID,Construction_ID,Parameter_ID,Value,Code_ID,Comment
cham1312-ap1-productivity,cham1312-ap1,productivity,restricted,productivity-c1,
cham1312-ap1-p-obligatoriness,cham1312-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
cham1312-ap1-p-definiteness,cham1312-ap1,p-definiteness,indefinite,p-definiteness-c2,
chuk1273-ap1-ap-marker,chuk1273-ap1,ap-marker,ine,,
chuk1273-ap1-marker-type,chuk1273-ap1,marker-type,affix,marker-type-c2,
chuk1273-ap1-functions,chuk1273-ap1,functions,"atelic, syntactic",functions-c7,
chuk1273-ap1-polysemy,chuk1273-ap1,polysemy,syncrectic,polysemy-c5,
chuk1273-ap1-productivity,chuk1273-ap1,productivity,unrestricted,productivity-c2,
chuk1273-ap1-p-obligatoriness,chuk1273-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
chuk1273-ap1-p-definiteness,chuk1273-ap1,p-definiteness,unrestricted,p-definiteness-c5,
chuk1273-ap2-ap-marker,chuk1273-ap2,ap-marker,tku,,
chuk1273-ap2-marker-type,chuk1273-ap2,marker-type,overt,marker-type-c6,
chuk1273-ap2-functions,chuk1273-ap2,functions,"atelic, incorporation",functions-c4,
chuk1273-ap2-polysemy,chuk1273-ap2,polysemy,syncrectic,polysemy-c5,
chuk1273-ap2-productivity,chuk1273-ap2,productivity,unrestricted,productivity-c2,
chuk1273-ap2-p-obligatoriness,chuk1273-ap2,p-obligatoriness,forbidden,p-obligatoriness-c2,
chuk1273-ap2-p-definiteness,chuk1273-ap2,p-definiteness,unrestricted,p-definiteness-c5,
coma1245-ap1-ap-marker,coma1245-ap1,ap-marker,ma/ti,,
coma1245-ap1-marker-type,coma1245-ap1,marker-type,affix,marker-type-c2,
coma1245-ap1-functions,coma1245-ap1,functions,atelic,functions-c1,
coma1245-ap1-polysemy,coma1245-ap1,polysemy,dedicated,polysemy-c1,
coma1245-ap1-productivity,coma1245-ap1,productivity,unrestricted,productivity-c2,
coma1245-ap1-p-obligatoriness,coma1245-ap1,p-obligatoriness,forbidden,p-obligatoriness-c2,
coma1245-ap1-p-definiteness,coma1245-ap1,p-definiteness,indefinite,p-definiteness-c2,
khin1240-ap1-ap-marker,khin1240-ap1,ap-marker,u/an(ar),,
khin1240-ap1-marker-type,khin1240-ap1,marker-type,affix,marker-type-c2,
khin1240-ap1-functions,khin1240-ap1,functions,atelic,functions-c1,
khin1240-ap1-polysemy,khin1240-ap1,polysemy,syncretic,polysemy-c6,
khin1240-ap1-productivity,khin1240-ap1,productivity,restricted,productivity-c1,
khin1240-ap1-p-obligatoriness,khin1240-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
khin1240-ap1-p-definiteness,khin1240-ap1,p-definiteness,rather_indef,p-definiteness-c3,
dyir1250-ap1-ap-marker,dyir1250-ap1,ap-marker,nay,,
dyir1250-ap1-marker-type,dyir1250-ap1,marker-type,affix,marker-type-c2,
dyir1250-ap1-functions,dyir1250-ap1,functions,syntactic,functions-c9,
dyir1250-ap1-polysemy,dyir1250-ap1,polysemy,dedicated,polysemy-c1,
dyir1250-ap1-productivity,dyir1250-ap1,productivity,unrestricted,productivity-c2,
dyir1250-ap1-p-obligatoriness,dyir1250-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
dyir1250-ap1-p-definiteness,dyir1250-ap1,p-definiteness,unrestricted,p-definiteness-c5,
esee1248-ap1-marker-type,esee1248-ap1,marker-type,"reduplication, affix",marker-type-c9,
esee1248-ap1-functions,esee1248-ap1,functions,atelic,functions-c1,
esee1248-ap1-polysemy,esee1248-ap1,polysemy,dedicated,polysemy-c1,
esee1248-ap1-productivity,esee1248-ap1,productivity,restricted,productivity-c1,
esee1248-ap1-p-obligatoriness,esee1248-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
esee1248-ap1-p-definiteness,esee1248-ap1,p-definiteness,unrestricted,p-definiteness-c5,
halk1245-ap1-ap-marker,halk1245-ap1,ap-marker,els,,
halk1245-ap1-marker-type,halk1245-ap1,marker-type,affix,marker-type-c2,
halk1245-ap1-functions,halk1245-ap1,functions,"atelic, low individuation",functions-c5,
halk1245-ap1-polysemy,halk1245-ap1,polysemy,dedicated,polysemy-c1,
halk1245-ap1-productivity,halk1245-ap1,productivity,restricted,productivity-c1,
halk1245-ap1-p-obligatoriness,halk1245-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
halk1245-ap1-p-definiteness,halk1245-ap1,p-definiteness,rather_indef,p-definiteness-c3,
hinu1240-ap1-marker-type,hinu1240-ap1,marker-type,affix,marker-type-c2,
hinu1240-ap1-functions,hinu1240-ap1,functions,atelic,functions-c1,
hinu1240-ap1-polysemy,hinu1240-ap1,polysemy,dedicated,polysemy-c1,
hinu1240-ap1-productivity,hinu1240-ap1,productivity,restricted,productivity-c1,
hinu1240-ap1-p-obligatoriness,hinu1240-ap1,p-obligatoriness,forbidden,p-obligatoriness-c2,
hinu1240-ap1-p-definiteness,hinu1240-ap1,p-definiteness,indefinite,p-definiteness-c2,
east2534-ap1-ap-marker,east2534-ap1,ap-marker,si,,
east2534-ap1-marker-type,east2534-ap1,marker-type,"affix, zero",marker-type-c3,
east2534-ap1-functions,east2534-ap1,functions,"atelic, avoidanceErg",functions-c2,
east2534-ap1-polysemy,east2534-ap1,polysemy,dedicated,polysemy-c1,
east2534-ap1-productivity,east2534-ap1,productivity,unrestricted,productivity-c2,
east2534-ap1-p-obligatoriness,east2534-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
east2534-ap1-p-definiteness,east2534-ap1,p-definiteness,unrestricted,p-definiteness-c5,
popt1235-ap1-ap-marker,popt1235-ap1,ap-marker,wa/wi,,
popt1235-ap1-marker-type,popt1235-ap1,marker-type,affix,marker-type-c2,
popt1235-ap1-functions,popt1235-ap1,functions,atelic,functions-c1,
popt1235-ap1-polysemy,popt1235-ap1,polysemy,dedicated,polysemy-c1,
popt1235-ap1-productivity,popt1235-ap1,productivity,restricted,productivity-c1,
popt1235-ap1-p-obligatoriness,popt1235-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
popt1235-ap1-p-definiteness,popt1235-ap1,p-definiteness,unrestricted,p-definiteness-c5,
jiar1240-ap1-ap-marker,jiar1240-ap1,ap-marker,rɤ/sɤ,,
jiar1240-ap1-marker-type,jiar1240-ap1,marker-type,affix,marker-type-c2,
jiar1240-ap1-functions,jiar1240-ap1,functions,atelic,functions-c1,
jiar1240-ap1-polysemy,jiar1240-ap1,polysemy,dedicated,polysemy-c1,
jiar1240-ap1-productivity,jiar1240-ap1,productivity,restricted,productivity-c1,
jiar1240-ap1-p-obligatoriness,jiar1240-ap1,p-obligatoriness,forbidden,p-obligatoriness-c2,
jiar1240-ap1-p-definiteness,jiar1240-ap1,p-definiteness,indefinite,p-definiteness-c2,
kaqc1270-ap1-marker-type,kaqc1270-ap1,marker-type,affix,marker-type-c2,
kaqc1270-ap1-functions,kaqc1270-ap1,functions,atelic,functions-c1,
kaqc1270-ap1-polysemy,kaqc1270-ap1,polysemy,dedicated,polysemy-c1,
kaqc1270-ap1-productivity,kaqc1270-ap1,productivity,restricted,productivity-c1,
kaqc1270-ap1-p-obligatoriness,kaqc1270-ap1,p-obligatoriness,forbidden,p-obligatoriness-c2,
kaqc1270-ap1-p-definiteness,kaqc1270-ap1,p-definiteness,indefinite,p-definiteness-c2,
kaqc1270-ap2-marker-type,kaqc1270-ap2,marker-type,affix,marker-type-c2,
kaqc1270-ap2-functions,kaqc1270-ap2,functions,syntactic,functions-c9,
kaqc1270-ap2-polysemy,kaqc1270-ap2,polysemy,dedicated,polysemy-c1,
kaqc1270-ap2-productivity,kaqc1270-ap2,productivity,unrestricted,productivity-c2,
kaqc1270-ap2-p-obligatoriness,kaqc1270-ap2,p-obligatoriness,obligatory,p-obligatoriness-c4,
kaqc1270-ap2-p-definiteness,kaqc1270-ap2,p-definiteness,definite,p-definiteness-c1,
kana1291-ap1-marker-type,kana1291-ap1,marker-type,affix,marker-type-c2,
kana1291-ap1-functions,kana1291-ap1,functions,syntactic,functions-c9,
kana1291-ap1-polysemy,kana1291-ap1,polysemy,dedicated,polysemy-c1,
kana1291-ap1-productivity,kana1291-ap1,productivity,unrestricted,productivity-c2,
kana1291-ap1-p-obligatoriness,kana1291-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
kana1291-ap1-p-definiteness,kana1291-ap1,p-definiteness,unrestricted,p-definiteness-c5,
mamm1241-ap1-marker-type,mamm1241-ap1,marker-type,affix,marker-type-c2,
mamm1241-ap1-functions,mamm1241-ap1,functions,"syntactic, incorporation, low-individuation",functions-c14,
mamm1241-ap1-polysemy,mamm1241-ap1,polysemy,dedicated,polysemy-c1,
mamm1241-ap1-productivity,mamm1241-ap1,productivity,unrestricted,productivity-c2,
mamm1241-ap1-p-obligatoriness,mamm1241-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
mamm1241-ap1-p-definiteness,mamm1241-ap1,p-definiteness,unrestricted,p-definiteness-c5,
nezp1238-ap1-ap-marker,nezp1238-ap1,ap-marker,n/a,,
nezp1238-ap1-marker-type,nezp1238-ap1,marker-type,zero,marker-type-c10,
nezp1238-ap1-functions,nezp1238-ap1,functions,"atelic, pragmatic",functions-c6,
nezp1238-ap1-polysemy,nezp1238-ap1,polysemy,n/a,polysemy-c4,
nezp1238-ap1-productivity,nezp1238-ap1,productivity,unrestricted,productivity-c2,
nezp1238-ap1-p-obligatoriness,nezp1238-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
nezp1238-ap1-p-definiteness,nezp1238-ap1,p-definiteness,unrestricted,p-definiteness-c5,
nyam1271-ap1-ap-marker,nyam1271-ap1,ap-marker,ra,,
nyam1271-ap1-marker-type,nyam1271-ap1,marker-type,affix,marker-type-c2,
nyam1271-ap1-functions,nyam1271-ap1,functions,atelic,functions-c1,
nyam1271-ap1-polysemy,nyam1271-ap1,polysemy,dedicated,polysemy-c1,
nyam1271-ap1-productivity,nyam1271-ap1,productivity,restricted,productivity-c1,
nyam1271-ap1-p-obligatoriness,nyam1271-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
nyam1271-ap1-p-definiteness,nyam1271-ap1,p-definiteness,unrestricted,p-definiteness-c5,
pari1256-ap1-marker-type,pari1256-ap1,marker-type,ablaut,marker-type-c1,
pari1256-ap1-functions,pari1256-ap1,functions,syntactic,functions-c9,
pari1256-ap1-polysemy,pari1256-ap1,polysemy,dedicated,polysemy-c1,
pari1256-ap1-productivity,pari1256-ap1,productivity,unrestricted,productivity-c2,
pari1256-ap1-p-obligatoriness,pari1256-ap1,p-obligatoriness,mostly_missing,p-obligatoriness-c3,
pari1256-ap1-p-definiteness,pari1256-ap1,p-definiteness,rather_indef,p-definiteness-c3,
puma1239-ap1-ap-marker,puma1239-ap1,ap-marker,kha-,,
puma1239-ap1-marker-type,puma1239-ap1,marker-type,affix,marker-type-c2,
waru1264-ap1-ap-marker,waru1264-ap1,ap-marker,gali,,
waru1264-ap1-marker-type,waru1264-ap1,marker-type,affix,marker-type-c2,
waru1264-ap1-functions,waru1264-ap1,functions,"syntactic, atelic",functions-c11,
waru1264-ap1-polysemy,waru1264-ap1,polysemy,syncretic,polysemy-c6,
waru1264-ap1-productivity,waru1264-ap1,productivity,unrestricted,productivity-c2,
waru1264-ap1-p-obligatoriness,waru1264-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
waru1264-ap1-p-definiteness,waru1264-ap1,p-definiteness,unrestricted,p-definiteness-c5,
kala1399-ap1-ap-marker,kala1399-ap1,ap-marker,"s(s)i-vu, -nnig, 0",,
kala1399-ap1-marker-type,kala1399-ap1,marker-type,"affix, zero",marker-type-c3,
kala1399-ap1-functions,kala1399-ap1,functions,atelic,functions-c1,
kala1399-ap1-polysemy,kala1399-ap1,polysemy,dedictaed,polysemy-c2,
kala1399-ap1-productivity,kala1399-ap1,productivity,restricted,productivity-c1,
kala1399-ap1-p-obligatoriness,kala1399-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
kala1399-ap1-p-definiteness,kala1399-ap1,p-definiteness,unrestricted,p-definiteness-c5,
yakk1236-ap1-ap-marker,yakk1236-ap1,ap-marker,n/a,,
yakk1236-ap1-marker-type,yakk1236-ap1,marker-type,zero,marker-type-c10,
yakk1236-ap1-functions,yakk1236-ap1,functions,atelic,functions-c1,
yakk1236-ap1-polysemy,yakk1236-ap1,polysemy,n/a,polysemy-c4,
yakk1236-ap1-productivity,yakk1236-ap1,productivity,restricted,productivity-c1,
yakk1236-ap1-p-obligatoriness,yakk1236-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
yakk1236-ap1-p-definiteness,yakk1236-ap1,p-definiteness,indefinite,p-definiteness-c2,
yidi1250-ap1-ap-marker,yidi1250-ap1,ap-marker,:dji-,,
yidi1250-ap1-marker-type,yidi1250-ap1,marker-type,affix,marker-type-c2,
yidi1250-ap1-functions,yidi1250-ap1,functions,"syntactic, atelic, stylistic",functions-c12,
yidi1250-ap1-polysemy,yidi1250-ap1,polysemy,syncretic,polysemy-c6,
yidi1250-ap1-productivity,yidi1250-ap1,productivity,unrestricted,productivity-c2,
yidi1250-ap1-p-obligatoriness,yidi1250-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
yidi1250-ap1-p-definiteness,yidi1250-ap1,p-definiteness,unrestricted,p-definiteness-c5,
taga1270-ap1-ap-marker,taga1270-ap1,ap-marker,um/mag,,
taga1270-ap1-marker-type,taga1270-ap1,marker-type,affix,marker-type-c2,
taga1270-ap1-functions,taga1270-ap1,functions,"syntactic, incorporation",functions-c13,
taga1270-ap1-polysemy,taga1270-ap1,polysemy,syncretic,polysemy-c6,
taga1270-ap1-productivity,taga1270-ap1,productivity,unrestricted,productivity-c2,
taga1270-ap1-p-obligatoriness,taga1270-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
taga1270-ap1-p-definiteness,taga1270-ap1,p-definiteness,unrestricted,p-definiteness-c5,
akaw1239-ap1-ap-marker,akaw1239-ap1,ap-marker,"e/ et, es, e’ s, t",,
akaw1239-ap1-marker-type,akaw1239-ap1,marker-type,affix,marker-type-c2,
akaw1239-ap1-functions,akaw1239-ap1,functions,"syntatic, incorporation, pragmatic",functions-c16,
akaw1239-ap1-polysemy,akaw1239-ap1,polysemy,syncretic,polysemy-c6,
akaw1239-ap1-productivity,akaw1239-ap1,productivity,unrestricted,productivity-c2,
akaw1239-ap1-p-obligatoriness,akaw1239-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
akaw1239-ap1-p-definiteness,akaw1239-ap1,p-definiteness,unrestricted,p-definiteness-c5,
cari1279-ap1-ap-marker,cari1279-ap1,ap-marker,"we/ wot-, wos-, wo:-, wo-",,
cari1279-ap1-marker-type,cari1279-ap1,marker-type,affix,marker-type-c2,
cari1279-ap1-functions,cari1279-ap1,functions,"syntatic, incorporation, pragmatic",functions-c16,
cari1279-ap1-polysemy,cari1279-ap1,polysemy,syncretic,polysemy-c6,
cari1279-ap1-productivity,cari1279-ap1,productivity,unrestricted,productivity-c2,
cari1279-ap1-p-obligatoriness,cari1279-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
cari1279-ap1-p-definiteness,cari1279-ap1,p-definiteness,unrestricted,p-definiteness-c5,
hixk1239-ap1-ap-marker,hixk1239-ap1,ap-marker,"e- / ote-, ot-, os-, o’-, at-, as-, a’",,
hixk1239-ap1-marker-type,hixk1239-ap1,marker-type,affix,marker-type-c2,
hixk1239-ap1-functions,hixk1239-ap1,functions,"syntatic, incorporation, pragmatic",functions-c16,
hixk1239-ap1-polysemy,hixk1239-ap1,polysemy,syncretic,polysemy-c6,
hixk1239-ap1-productivity,hixk1239-ap1,productivity,unrestricted,productivity-c2,
hixk1239-ap1-p-obligatoriness,hixk1239-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
hixk1239-ap1-p-definiteness,hixk1239-ap1,p-definiteness,unrestricted,p-definiteness-c5,
moco1246-ap1-ap-marker,moco1246-ap1,ap-marker,aɢan,,
moco1246-ap1-marker-type,moco1246-ap1,marker-type,affix,marker-type-c2,
moco1246-ap1-functions,moco1246-ap1,functions,syntatic,functions-c15,
moco1246-ap1-polysemy,moco1246-ap1,polysemy,syncretic,polysemy-c6,
moco1246-ap1-productivity,moco1246-ap1,productivity,unrestricted,productivity-c2,
moco1246-ap1-p-obligatoriness,moco1246-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
moco1246-ap1-p-definiteness,moco1246-ap1,p-definiteness,indefinite,p-definiteness-c2,
como1259-ap1-ap-marker,como1259-ap1,ap-marker,Ɂəm,,
como1259-ap1-marker-type,como1259-ap1,marker-type,affix,marker-type-c2,
como1259-ap1-functions,como1259-ap1,functions,atelic,functions-c1,
como1259-ap1-polysemy,como1259-ap1,polysemy,dedicated,polysemy-c1,
como1259-ap1-productivity,como1259-ap1,productivity,unrestricted,productivity-c2,
como1259-ap1-p-obligatoriness,como1259-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
como1259-ap1-p-definiteness,como1259-ap1,p-definiteness,unrestricted,p-definiteness-c5,
coeu1236-ap1-ap-marker,coeu1236-ap1,ap-marker,m,,
coeu1236-ap1-marker-type,coeu1236-ap1,marker-type,affix,marker-type-c2,
coeu1236-ap1-functions,coeu1236-ap1,functions,"atelic, customary",functions-c3,
coeu1236-ap1-polysemy,coeu1236-ap1,polysemy,syncrectic,polysemy-c5,
coeu1236-ap1-productivity,coeu1236-ap1,productivity,unrestricted,productivity-c2,
coeu1236-ap1-p-obligatoriness,coeu1236-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
coeu1236-ap1-p-definiteness,coeu1236-ap1,p-definiteness,indefinite,p-definiteness-c2,
nort2943-ap1-ap-marker,nort2943-ap1,ap-marker,"si, i, Ø, tnik, kliq",,
nort2943-ap1-marker-type,nort2943-ap1,marker-type,"affixes, zero",marker-type-c4,
nort2943-ap1-functions,nort2943-ap1,functions,syntactic pivot; deemphasize patient; but also atelic (Ngali 2006: 134),functions-c10,
nort2943-ap1-polysemy,nort2943-ap1,polysemy,kliq is syncretic (inceptive aspect); tnik and kliq function also as adversative (Nagai 2006: 134),polysemy-c3,
nort2943-ap1-productivity,nort2943-ap1,productivity,unrestricted,productivity-c2,
nort2943-ap1-p-obligatoriness,nort2943-ap1,p-obligatoriness,obligatory*,p-obligatoriness-c5,
nort2943-ap1-p-definiteness,nort2943-ap1,p-definiteness,unrestricted,p-definiteness-c5,
mats1244-ap1-ap-marker,mats1244-ap1,ap-marker,-an,,
mats1244-ap1-marker-type,mats1244-ap1,marker-type,affix,marker-type-c2,
mats1244-ap1-functions,mats1244-ap1,functions,syntactic,functions-c9,
mats1244-ap1-polysemy,mats1244-ap1,polysemy,syncretic,polysemy-c6,
mats1244-ap1-productivity,mats1244-ap1,productivity,unrestricted,productivity-c2,
mats1244-ap1-p-obligatoriness,mats1244-ap1,p-obligatoriness,forbidden,p-obligatoriness-c2,
mats1244-ap1-p-definiteness,mats1244-ap1,p-definiteness,unrestricted,p-definiteness-c5,
mats1244-ap2-ap-marker,mats1244-ap2,ap-marker,n/a,,
mats1244-ap2-marker-type,mats1244-ap2,marker-type,ablaut,marker-type-c1,
mats1244-ap2-functions,mats1244-ap2,functions,syntactic,functions-c9,
mats1244-ap2-polysemy,mats1244-ap2,polysemy,syncretic,polysemy-c6,
mats1244-ap2-productivity,mats1244-ap2,productivity,unrestricted,productivity-c2,
mats1244-ap2-p-obligatoriness,mats1244-ap2,p-obligatoriness,forbidden,p-obligatoriness-c2,
mats1244-ap2-p-definiteness,mats1244-ap2,p-definiteness,unrestricted,p-definiteness-c5,
movi1243-ap1-ap-marker,movi1243-ap1,ap-marker,kwey/kaw,,
movi1243-ap1-marker-type,movi1243-ap1,marker-type,particle,marker-type-c7,
movi1243-ap1-functions,movi1243-ap1,functions,syntactic,functions-c9,
movi1243-ap1-polysemy,movi1243-ap1,polysemy,syncretic,polysemy-c6,
movi1243-ap1-productivity,movi1243-ap1,productivity,unrestricted,productivity-c2,
movi1243-ap1-p-obligatoriness,movi1243-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
movi1243-ap1-p-definiteness,movi1243-ap1,p-definiteness,unrestricted,p-definiteness-c5,
gang1267-ap1-ap-marker,gang1267-ap1,ap-marker,inflectional,,
gang1267-ap1-marker-type,gang1267-ap1,marker-type,affix,marker-type-c2,
gang1267-ap1-functions,gang1267-ap1,functions,"irrealis, negation, person hierarchy",functions-c8,
gang1267-ap1-polysemy,gang1267-ap1,polysemy,syncretic,polysemy-c6,
gang1267-ap1-productivity,gang1267-ap1,productivity,unrestricted,productivity-c2,
gang1267-ap1-p-obligatoriness,gang1267-ap1,p-obligatoriness,flexible,p-obligatoriness-c1,
gang1267-ap1-p-definiteness,gang1267-ap1,p-definiteness,unrestricted,p-definiteness-c5,
