ID,Name,Description
ap-marker,AP marker,
marker-type,Type of AP marker,
functions,Functions,
polysemy,Polysemy,
productivity,Productivity of AP,
p-obligatoriness,Obligatoriness of P,
p-definiteness,Definiteness of P,
